Customer Id,Customer Name,Customer Segment,Customer Country,Customer State,Customer City,Customer Street,Customer Zipcode,Latitude,Longitude
20755,Cally Holloway,Consumer,Puerto Rico,PR,Caguas,5365 Noble Nectar Island,725.0,18.2514534,-66.03705597
19492,Irene Luna,Consumer,Puerto Rico,PR,Caguas,2679 Rustic Loop,725.0,18.27945137,-66.0370636
19491,Gillian Maldonado,Consumer,EE. UU.,CA,San Jose,8510 Round Bear Gate,95125.0,37.29223251,-121.881279
19490,Tana Tate,Home Office,EE. UU.,CA,Los Angeles,3200 Amber Bend,90027.0,34.12594605,-118.2910156
19489,Orli Hendricks,Corporate,Puerto Rico,PR,Caguas,8671 Iron Anchor Corners,725.0,18.25376892,-66.03704834
19488,Kimberly Flowers,Consumer,EE. UU.,NY,Tonawanda,2122 Hazy Corner,14150.0,43.01396942,-78.87906647
19487,Constance Terrell,Home Office,Puerto Rico,PR,Caguas,1879 Green Pine Bank,725.0,18.24253845,-66.03705597
19486,Erica Stevens,Corporate,EE. UU.,FL,Miami,7595 Cotton Log Row,33162.0,25.92886925,-80.16287231
19485,Nichole Olsen,Corporate,Puerto Rico,PR,Caguas,2051 Dusty Route,725.0,18.23322296,-66.03705597
19484,Oprah Delacruz,Corporate,EE. UU.,CA,San Ramon,9139 Blue Blossom Court,94583.0,37.77399063,-121.966629
19483,Germane Short,Corporate,Puerto Rico,PR,Caguas,4058 Quiet Heights,725.0,18.28284454,-66.03705597
19482,Freya Robbins,Consumer,EE. UU.,NY,Freeport,3243 Shady Corner,11520.0,40.65486527,-73.58707428
19481,Cassandra Jensen,Corporate,EE. UU.,CA,Salinas,131 Sunny Treasure Green,93905.0,36.6763382,-121.656517
19480,Natalie Mcfadden,Corporate,Puerto Rico,PR,Caguas,2531 Wishing Square,725.0,18.27843857,-66.03705597
19479,Kimberley Sharpe,Corporate,EE. UU.,MA,Peabody,6417 Silver Towers,1960.0,42.52627564,-70.92703247
19478,Sade Lancaster,Corporate,Puerto Rico,PR,Caguas,257 Harvest Close,725.0,18.28404999,-66.03705597
19477,Brynne Giles,Corporate,Puerto Rico,PR,Canovanas,7342 Hazy Beacon Park,729.0,18.3957901,-65.87288666
19476,Ciara Bird,Corporate,EE. UU.,CA,Paramount,7787 Lazy Corners,90723.0,33.89869309,-118.1745605
19475,Bo Griffin,Consumer,Puerto Rico,PR,Caguas,5136 Rustic Pioneer Estates,725.0,18.233778,-66.0370636
19474,Kim Simon,Consumer,EE. UU.,IL,Mount Prospect,1723 Tawny Via,60056.0,42.04830551,-87.96134186
19473,Kellie Farmer,Corporate,EE. UU.,CA,Long Beach,7111 Silent Fox Gardens,90813.0,33.78245163,-118.1922455
19472,Alma Conley,Corporate,Puerto Rico,PR,Caguas,3732 Old Mountain Bank,725.0,18.28337669,-66.03705597
19471,Yeo Bird,Corporate,EE. UU.,CA,Rancho Cordova,6217 Rustic Lake Forest,95670.0,38.61177445,-121.2828674
19470,Lucy Mcknight,Corporate,Puerto Rico,PR,Caguas,1082 Quiet Treasure Link,725.0,18.20733643,-66.03705597
19469,Simone Vance,Corporate,EE. UU.,MT,Billings,3176 Round Gate,59102.0,45.78831101,-108.5594101
19468,Roary Wheeler,Corporate,Puerto Rico,PR,Caguas,1426 Fallen Line,725.0,18.26163292,-66.03705597
19467,Quail Ashley,Consumer,EE. UU.,PA,Wilkes Barre,9814 Emerald Prairie Limits,18702.0,41.23545456,-75.86985779
19466,Hannah Velez,Corporate,Puerto Rico,PR,Caguas,8271 Tawny Elk Abbey,725.0,18.27022362,-66.0370636
19465,Evelyn Kelly,Corporate,EE. UU.,MI,Roseville,3931 Gentle Ramp,48066.0,41.86886215,-84.57365418
19464,Jael Mcfarland,Consumer,EE. UU.,CA,Bellflower,9699 Honey Rise,90706.0,33.90942383,-118.1253586
19463,Teagan Romero,Consumer,Puerto Rico,PR,Caguas,1564 Rocky Terrace,725.0,18.27526093,-66.0370636
19462,Joan Wilder,Consumer,EE. UU.,IL,Wheaton,4294 High Passage,60187.0,41.86544037,-88.10990143
19461,Basia Watts,Consumer,Puerto Rico,PR,Caguas,5918 Golden Beacon Freeway,725.0,18.28713608,-66.03705597
19460,Dominique Rogers,Consumer,EE. UU.,MI,Detroit,3915 Broad Lookout,48238.0,42.39110184,-83.13121796
19459,Ainsley Mathis,Consumer,EE. UU.,TX,Dallas,7190 Silver Horse Glade,75220.0,32.86539459,-96.86858368
19458,Aurora Sharp,Corporate,Puerto Rico,PR,Caguas,830 Broad Beacon Maze,725.0,18.24074173,-66.03705597
19457,Libby Bray,Corporate,EE. UU.,PA,Carlisle,6127 Dewy Goose Downs,17013.0,40.03171921,-76.87709808
19456,Amy Lindsay,Corporate,EE. UU.,TX,Dallas,1188 Old Abbey,75228.0,32.81010819,-96.68649292
19455,Ivory Parks,Consumer,Puerto Rico,PR,Caguas,7004 Hazy Lake Townline,725.0,18.28604889,-66.03705597
19454,Karina Prince,Consumer,EE. UU.,DE,Newark,2556 Umber Autoroute,19702.0,39.68188095,-75.64421082
19453,Deanna Goff,Consumer,EE. UU.,CA,Panorama City,3722 Thunder Cape,91402.0,34.15893936,-118.1809387
19452,Dacey Walters,Home Office,Puerto Rico,PR,Caguas,2676 Velvet Common,725.0,18.28294563,-66.0370636
19451,Adele Pennington,Home Office,EE. UU.,GA,Atlanta,833 Amber Anchor Glen,30318.0,33.81632614,-84.44550324
